name                                                                                                                                                                               |  rows    
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------
ActBlue                                                                                                                                                                            |  16835880
EMILYs List                                                                                                                                                                        |  463077  
MOVEON.ORG POLITICAL ACTION                                                                                                                                                        |  359442  
Senate Conservatives Fund                                                                                                                                                          |  295687  
DCCC                                                                                                                                                                               |  149169  
Obama for America                                                                                                                                                                  |  142330  
DNC Services Corp./Dem. Natl Committee                                                                                                                                             |  102418  
CLUB FOR GROWTH PAC                                                                                                                                                                |  78544   
Council for a Livable World Candidate Fund                                                                                                                                         |  77220   
ROMNEY FOR PRESIDENT, INC.                                                                                                                                                         |  73624   
Michigan Democratic State Central Commitee                                                                                                                                         |  69171   
Ohio Democratic Party                                                                                                                                                              |  54440   
LaRouche Political Action Committee                                                                                                                                                |  52183   
Democracy Engine, Inc., PAC                                                                                                                                                        |  51887   
WOMEN SPEAK OUT PAC                                                                                                                                                                |  45443   
League of Conservation Voters Action Fund                                                                                                                                          |  44471   
NRCC                                                                                                                                                                               |  39676   
ACTRIGHT                                                                                                                                                                           |  35043   
JStreetPAC                                                                                                                                                                         |  30680   
Workers Voice                                                                                                                                                                      |  30423   
Republican Party of Florida                                                                                                                                                        |  29228   
Democratic Executive Committee of Florida                                                                                                                                          |  27467   
THE TEAPARTY LEADERSHIP FUND                                                                                                                                                       |  27213   
Ron Paul 2012 Presidential Campaign Committee Inc.                                                                                                                                 |  26822   
IOWA DEMOCRATIC PARTY                                                                                                                                                              |  21897   
Democracy for America                                                                                                                                                              |  21726   
Democratic Party of Wisconsin                                                                                                                                                      |  21541   
Pennsylvania Democratic Party                                                                                                                                                      |  21250   
Nevada State Democratic Party                                                                                                                                                      |  19606   
Minnesota Democratic-Farmer-Labor Party                                                                                                                                            |  18884   
Michigan Republican Party                                                                                                                                                          |  18759   
Oakland County Democratic Party                                                                                                                                                    |  18342   
Democratic Party of Virginia                                                                                                                                                       |  18183   
Arizona State Democratic Central Executive Committee                                                                                                                               |  18166   
DEMOCRATIC STATE CENTRAL COMMITTEE OF LA                                                                                                                                           |  17990   
California Democratic Party                                                                                                                                                        |  17626   
Colorado Democratic Party                                                                                                                                                          |  17149   
North Carolina Democratic Party - Federal                                                                                                                                          |  16815   
OHIO REPUBLICAN PARTY STATE CENTRAL & EXECUTIVE COMMITTEE                                                                                                                          |  15718   
Washington State Democratic Central Committee                                                                                                                                      |  15715   
Missouri Democratic State Committee                                                                                                                                                |  15521   
Republican Federal Committee of Pennsylvania                                                                                                                                       |  14510   
Texas Democratic Party                                                                                                                                                             |  14429   
SUSAN B ANTHONY LIST INC. CANDIDATE FUND                                                                                                                                           |  14339   
Philip A. Hart Democratic Club                                                                                                                                                     |  14324   
Republican Party of Wisconsin                                                                                                                                                      |  14295   
Hillary for America                                                                                                                                                                |  14216   
Progressive Change Campaign Committee                                                                                                                                              |  13849   
Democratic Party of Oregon                                                                                                                                                         |  13746   
National Association of Realtors Political Action Committee                                                                                                                        |  13542   
Kentucky State Democratic Central Executive Committee                                                                                                                              |  13372   
American Bridge 21st Century                                                                                                                                                       |  13026   
California Republican Party Federal Acct                                                                                                                                           |  12755   
Georgia Federal Elections Committee                                                                                                                                                |  12286   
Montana Democratic Party                                                                                                                                                           |  12179   
Democratic Party of Arkansas                                                                                                                                                       |  12167   
Macomb County Democratic Committee                                                                                                                                                 |  12036   
New York State Democratic Committee                                                                                                                                                |  11381   
Indiana Democratic Congressional Victory Committee                                                                                                                                 |  11144   
VOTESANE PAC                                                                                                                                                                       |  11097   
National Rifle Association of America Political Victory Fund                                                                                                                       |  11072   
Connecticut Democratic State Central Committee                                                                                                                                     |  11056   
